游戏名称,价格,好评率,好评人数,平均游玩时长,标签
My Fishing Desktop,¥ 15.00,2 篇用户评测,2,8.6h,指向点击
Ignis Dei,免费,95%,45,7.2h,解谜
Interaktivně o Liberci,¥ 0.00,,,,指向点击
The Day in a Life of a Dayfly,免费,91%,47,6.0h,解谜
Legacy of The Botanist,¥ 0.00,,,,"解谜, 隐藏物体"
Super Ant Art Tycoon,¥ 36.00,80%,10,2.4h,指向点击
RUMOUR,¥ 0.00,,,,"解谜, 隐藏物体"
Wrist Catcher-寸关,¥ 9.00,3 篇用户评测,3,0.5h,指向点击
The Puppy,¥ 11.00,63%,41,2.8h,指向点击
Jungle Rot,¥ 0.00,,,,解谜
Idle Reincarnator,¥ 22.00,70%,92,16.8h,指向点击
Gyre,¥ 6.00,1 篇用户评测,1,2.7h,解谜
CINESCAPE VR,¥ 0.00,,,,解谜
EONA,¥ 0.00,,,,解谜
Color Connect,¥ 0.00,,,,解谜
竿鬼村的神隐事件,¥ 48.30,84%,79,2.9h,解谜
妙探寻凶：家族疑案,¥ 29.00,1 篇用户评测,1,4.6h,"指向点击, 解谜, 隐藏物体"
神秘岛：诡画,¥ 29.00,3 篇用户评测,3,13.9h,"指向点击, 解谜, 隐藏物体"
旋律画笔: 绘制音乐,¥ 0.00,,,,"解谜, 指向点击, 隐藏物体"
Risko,¥ 0.00,,,,指向点击
池中物,¥ 0.00,,,,解谜
