游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Incursion: Reforged,¥ 22.00,77%,18,1.4h,"第一人称射击, 射击, 战术"
NEON STRUCT: Desperation Column,免费,89%,73,3.6h,射击
Era Dream : Rose,免费,74%,31,4.3h,"第一人称射击, 射击"
Nightmare of Decay,¥ 22.00,95%,"4,073",4.3h,第一人称射击
System Critical: The Race Against Time,¥ 22.00,3 篇用户评测,3,1.1h,"射击, 第一人称射击"
Partizan,¥ 0.00,,,,"第一人称射击, 射击, 战术"
Under A Star Long Cold,¥ 15.00,81%,97,0.8h,第三人称射击
Infection Crisis : Fight For Life,¥ 11.00,4 篇用户评测,4,3.6h,"射击, 第一人称射击, 第三人称射击"
Polygon Survival,¥ 3.00,44%,25,0.7h,射击
Spaceport Trading Company,¥ 58.00,90%,32,3.0h,战术
末世少女 Zombie Girl,¥ 38.00,51%,960,2.0h,"第三人称射击, 射击, 第一人称射击"
Polybius Invaders 2,¥ 0.00,,,,射击
SANDRIPPER,¥ 20.00,91%,34,2.1h,射击
破境,¥ 26.00,5 篇用户评测,5,1.1h,战术
感染 - 超级士兵计划,¥ 42.99,3 篇用户评测,3,8.3h,"射击, 第三人称射击"
Sympathia,免费,80%,25,10.6h,射击
DemonCountdown,¥ 22.00,1 篇用户评测,1,2.5h,射击
Codename Incubus,¥ 0.00,,,,射击
The Unknown Fear,¥ 15.00,4 篇用户评测,4,3.3h,第一人称射击
"Die, Pablo! - A tower defense adventure",¥ 15.00,2 篇用户评测,2,21.4h,战术
Animated Jigsaw Puzzles,¥ 22.00,100%,10,9.6h,战术
Six Meat Under,¥ 33.00,8 篇用户评测,8,2.1h,"第一人称射击, 射击"
Relentless Impetus,¥ 26.00,2 篇用户评测,2,,"第一人称射击, 射击"
Garden Of Coolembozo,¥ 0.00,,,,射击
Bounty City: 3-Way Battle,免费开玩,64%,54,22.3h,"射击, 第一人称射击, 战术"
Chessium: 3D Chess Battle,¥ 0.00,,,,战术
Древние Ящеры Против Русов: Битва за Гиперборею,¥ 6.00,85%,"1,259",2.9h,射击
Tile Ruler,¥ 11.00,,,,战术
Dusky Depths,¥ 0.00,,,,射击
Dead 4 Now: Rebirth of Survivors,¥ 0.00,,,,射击
Lord Clicker,¥ 15.00,7 篇用户评测,7,,战术
Robots Shooting Simulator,¥ 6.00,41%,12,0.6h,"第一人称射击, 射击"
Masada,¥ 0.00,,,,射击
虫群猎手,¥ 6.00,1 篇用户评测,1,1.6h,射击
Project Hybrid,¥ 36.00,4 篇用户评测,4,1.7h,第一人称射击
Urban Intel: Special Ops,¥ 74.00,,,,"射击, 第一人称射击"
Energy Tanks,免费,81%,11,6.4h,射击
Reconnoitre,¥ 52.00,1 篇用户评测,1,0.2h,战术
Shell Runner 攻壳行者,¥ 24.75,56%,79,2.5h,射击
"Hue, Pulse",¥ 0.00,,,,战术
城堡大师游戏,¥ 42.00,1 篇用户评测,1,3.4h,战术
Cupid: Roguelite,¥ 0.00,,,,射击
Avium,¥ 42.00,84%,26,1.9h,"第三人称射击, 射击"
Favela Zombie Shooter,¥ 18.00,2 篇用户评测,2,1.4h,"第一人称射击, 射击"
Frenzy Blood,¥ 0.00,,,,"第一人称射击, 射击"
Berzerk: Recharged,¥ 42.00,63%,44,4.8h,射击
Battle Simulator: Counter Stickman,¥ 15.00,75%,29,8.3h,战术
Xenoterrestrial,¥ 15.00,1 篇用户评测,1,1.9h,射击
War Trigger,¥ 0.00,,,,"第一人称射击, 射击"
Quiverless,¥ 8.30,3 篇用户评测,3,,"射击, 战术"
Bones&Darks,¥ 11.00,5 篇用户评测,5,2.1h,第三人称射击
AKIBA MANUAL OVERRIDE,¥ 0.00,,,,"战术, 第三人称射击, 射击"
四面楚歌,¥ 0.00,,,,战术
Service with a Shotgun,¥ 27.80,94%,72,2.4h,第一人称射击
Irredeemable,¥ 0.00,,,,"第一人称射击, 射击, 战术"
The Face Horror Game,¥ 0.00,,,,第三人称射击
Ants: Leaf-al Warfare,免费开玩,66%,12,13.6h,战术
Angle Of Attack,¥ 0.00,,,,射击
Wall Brawl,¥ 0.00,,,,第三人称射击
Scorchwalkers,¥ 0.00,,,,战术
RUMOUR,¥ 0.00,,,,射击
青云防守,¥ 18.00,1 篇用户评测,1,0.8h,战术
Jungle Rot,¥ 0.00,,,,第三人称射击
淫乱迷宫大师：重启,¥ 58.00,98%,82,4.8h,战术
The Warrens,¥ 52.00,3 篇用户评测,3,0.1h,"射击, 第一人称射击"
弹球英雄,¥ 7.20,77%,18,5.2h,射击
每日亲亲洛丽塔,¥ 35.00,79%,278,3.9h,第一人称射击
Desktop Clicker,¥ 7.50,3 篇用户评测,3,28.1h,战术
American Cooking Simulator: Multiplayer,¥ 0.00,,,,"射击, 第一人称射击"
Flarebound,¥ 0.00,,,,战术
舰魂重构 WarSpirit Recast,¥ 0.00,,,,射击
Killer Aces Volleyball,¥ 0.00,,,,战术
Brimstone,¥ 0.00,,,,第一人称射击
Operation Ninurta - Eris Portal,¥ 22.00,无用户评测,,0.2h,射击
Freak,¥ 0.00,,,,"第一人称射击, 射击"
southbound,¥ 0.00,,,,射击
TimeSplit,¥ 0.00,,,,"射击, 第一人称射击"
DarkOrbit Reloaded,免费开玩,29%,359,24.1h,射击
Hunting Pro Simulator,¥ 0.00,,,,"第一人称射击, 射击"
Shell Rush,¥ 11.00,,,2.7h,射击
Box Box Box!,¥ 0.00,,,,战术
MoonLost,¥ 18.00,2 篇用户评测,2,,"第一人称射击, 射击"
VALENCE,¥ 0.00,,,,战术
Abracablabla,¥ 0.00,,,,第三人称射击
Doomed Dwarves,¥ 0.00,,,,战术
Block-Lite,¥ 11.00,4 篇用户评测,4,1.2h,射击
Stolen Skies,¥ 0.00,,,,射击
Cosmic Cargo,免费,92%,14,4.8h,射击
幸存者:枪火(Survivor: Gunfire),¥ 9.99,100%,18,1.1h,"第一人称射击, 射击"
Assassin of Demon,¥ 18.00,2 篇用户评测,2,5.3h,"射击, 第一人称射击"
Rust Born,¥ 0.00,,,,射击
禁区-B17,¥ 15.00,1 篇用户评测,1,0.3h,"第一人称射击, 射击"
Piperspace,¥ 0.00,,,,第一人称射击
Orbital Survivor,¥ 0.00,,,,射击
"Vlod, Fronk and Blod",¥ 0.00,,,,"第一人称射击, 射击"
Triste,¥ 0.00,,,,战术
Camp Manager Simulator,¥ 0.00,,,,第一人称射击
Remnants Of Eden,¥ 58.00,1 篇用户评测,1,,射击
Battleships Simulator,¥ 0.00,,,,"战术, 第三人称射击"
Butt Gunners,¥ 0.00,,,,"第一人称射击, 射击"
1111-Strike,¥ 0.00,,,,"射击, 第一人称射击, 战术"
Trick or Treat: The Legend of Samhain,¥ 0.00,,,,第一人称射击
Tank Rogue,¥ 29.00,1 篇用户评测,1,,射击
IMP,¥ 42.00,2 篇用户评测,2,,"第三人称射击, 射击"
Tiny little royale,¥ 0.00,,,,射击
KILL THE KING,¥ 0.00,,,,第一人称射击
Ghost Node,¥ 0.00,,,,战术
The Last Bet,¥ 0.00,,,,"第一人称射击, 射击"
No Mercy Maze,¥ 18.00,,,,战术
3265,¥ 0.00,,,,第三人称射击
Hansel And Gretel,¥ 0.00,,,,第一人称射击
摸鱼争霸,¥ 0.00,,,,战术
The Resonant,¥ 0.00,,,,战术
Undead Apocalypse: Hellbreak,¥ 0.00,,,,"第三人称射击, 射击"
IRON SIGHT,¥ 22.00,5 篇用户评测,5,,射击
Arena of Trials,¥ 26.00,无用户评测,,1.1h,"射击, 第一人称射击"
Farm&Night,¥ 18.00,,,,射击
Tache Noire,¥ 66.00,100%,15,,"第一人称射击, 射击"
Secrets of Solari,¥ 0.00,,,,第三人称射击
Streamer vs. Chat,¥ 0.00,,,,"射击, 第一人称射击"
The Secret of Island of Fear,¥ 0.00,,,,第一人称射击
GNOSiS,¥ 0.00,,,,"战术, 射击, 第一人称射击"
Lonely Penguin,¥ 0.00,,,,第三人称射击
Femboy vs Nazis,¥ 18.00,4 篇用户评测,4,0.1h,"射击, 第一人称射击, 第三人称射击"
modavuj FOREST CAMP,¥ 6.00,4 篇用户评测,4,0.1h,"射击, 第一人称射击"
