游戏名称,价格,好评率,好评人数,平均游玩时长,标签
VR Nara Park,¥ 37.00,5 篇用户评测,5,0.0h,模拟
诗酒剑江湖,¥ 6.00,7 篇用户评测,7,24.4h,模拟
我被逐出队伍后过上慢生活,¥ 76.00,88%,575,14.6h,"农场模拟, 模拟"
Unlocked,¥ 15.00,92%,13,53.7h,模拟
Super Mega Zero,¥ 37.00,100%,25,4.3h,建造
Wild Wild Chess,¥ 5.50,90%,21,23.6h,模拟
Hello Puppets: Midnight Show,¥ 70.00,72%,62,4.5h,模拟
Fast Finger Rule,免费开玩,8 篇用户评测,8,10.7h,模拟
Color Pixel Heroes,¥ 11.00,4 篇用户评测,4,16.2h,模拟
Mercenaries Blaze,¥ 70.00,75%,555,12.6h,模拟
The Palace on the Hill Prologue,免费,98%,123,2.8h,模拟
《电车难题公司》,¥ 46.00,67%,"1,203",2.2h,模拟
Rogue Tower,¥ 50.00,82%,"5,693",19.4h,建造
Motomancer: Auto Battle on Stream,¥ 0.00,,,,模拟
Brigandine The Legend of Runersia,¥ 116.00,85%,"1,238",21.1h,模拟
Communist Clicker,¥ 15.00,8 篇用户评测,8,1.6h,模拟
Strawberry Punch,¥ 0.00,,,,模拟
Dinosaur Park – Primeval Zoo,免费开玩,69%,203,9.7h,"模拟, 农场模拟"
Profession investigator,¥ 43.00,98%,96,9.9h,模拟
长安地下城,¥ 0.00,,,,模拟
Satama Puzzle,¥ 28.00,7 篇用户评测,7,0.3h,建造
Res Publica,¥ 0.00,,,,"建造, 模拟"
Panzers on the Steppe,¥ 163.00,5 篇用户评测,5,,模拟
project.r.█.█.,¥ 0.00,,,,"模拟, 黑客"
Aimlabs VR,免费,49%,154,10.0h,模拟
The Collar,¥ 22.00,1 篇用户评测,1,,模拟
Darkness Battle,¥ 33.00,,,7.3h,模拟
Mystery of Island,¥ 15.00,4 篇用户评测,4,2.4h,建造
Nanook's Revenge,免费开玩,76%,13,7.8h,建造
EEP 17 Eisenbahn.exe Professional - Aufbau- und Steuerungssimulation,¥ 519.00,62%,16,6.1h,"模拟, 建造"
Einherjar,免费开玩,8 篇用户评测,8,9.3h,建造
《极品飞车™：不羁》,¥ 248.00,61%,"46,714",22.9h,模拟
Witchbrook,¥ 0.00,,,,"农场模拟, 模拟"
Fruit Salad Theory,¥ 26.00,,,0.1h,模拟
Shores of Loci,¥ 50.00,91%,46,1.4h,建造
Idler Coaster,¥ 0.00,,,,"建造, 模拟"
Jet Fighters with Friends  (Multiplayer),¥ 4.20,7 篇用户评测,7,0.5h,模拟
Breathless,免费开玩,70%,10,13.5h,模拟
Island Berry,¥ 22.00,54%,11,2.0h,"建造, 农场模拟, 模拟"
The Unearthened - Complete Edition,¥ 33.00,4 篇用户评测,4,1.2h,"建造, 模拟"
游戏开发物语 (Game Dev Story),¥ 38.00,90%,"1,309",7.5h,"建造, 模拟"
Seres,¥ 0.00,,,,模拟
Trailer Park Life,¥ 0.00,,,,"模拟, 建造"
Japanese DoJo,¥ 19.00,4 篇用户评测,4,0.9h,模拟
Boba Simulator : Idle Shop Management,¥ 18.00,84%,308,5.4h,模拟
Kingdom's Life,¥ 29.99,64%,224,3.8h,模拟
Keyworker Simulator,¥ 0.00,,,,"疫病爆发模拟, 农场模拟, 模拟"
Incursion: Reforged,¥ 22.00,77%,18,1.4h,建造
无限投影,¥ 6.00,58%,214,32.2h,模拟
Gelatine,¥ 26.00,90%,22,1.5h,建造
FEAR: Call of the village,¥ 0.00,,,,模拟
Mistward,¥ 24.00,58%,68,2.4h,模拟
The Great Exhibition of 1851 in VR,免费,96%,30,6.4h,模拟
倾覆之国：最后一战,¥ 46.00,40%,40,1.9h,建造
The Fourth Sense Evolution: Stone Age,¥ 0.00,,,,建造
Polygon Survival,¥ 3.00,44%,25,0.7h,"建造, 模拟"
Spaceport Trading Company,¥ 58.00,90%,32,3.0h,模拟
Desktop Pet Project,¥ 15.00,84%,44,7.6h,模拟
Musical Dominotes,¥ 0.00,,,,模拟
Animal Way,¥ 0.00,,,,"模拟, 农场模拟, 建造"
Sliding,¥ 11.00,2 篇用户评测,2,1.8h,模拟
Cyber Fish King,¥ 10.80,1 篇用户评测,1,5.0h,模拟
Heartless Corporation,¥ 0.00,,,,模拟
魔釜小女巫,¥ 58.00,92%,"1,501",27.5h,模拟
A Story About Farting,¥ 6.05,86%,30,3.5h,模拟
AVARIS3,¥ 152.00,3 篇用户评测,3,242.0h,模拟
Jinshin,¥ 58.00,4 篇用户评测,4,7.2h,模拟
Idle Mall Tycoon,免费开玩,31%,45,4.5h,模拟
Divine Pig,¥ 11.00,90%,11,0.8h,模拟
Highreach,¥ 0.00,,,,建造
Against The Tide,¥ 0.00,,,,"模拟, 建造"
禁忌摄影,¥ 22.00,2 篇用户评测,2,0.4h,模拟
Incredible Dracula: Dark Carnival,¥ 29.00,88%,17,10.1h,建造
Survive The Night,¥ 0.00,,,,建造
Tile Ruler,¥ 11.00,,,,建造
Robots Shooting Simulator,¥ 6.00,41%,12,0.6h,模拟
凝视比赛,¥ 22.00,6 篇用户评测,6,2.0h,模拟
城堡大师游戏,¥ 42.00,1 篇用户评测,1,3.4h,建造
Yeah Wow Hey,¥ 29.99,7 篇用户评测,7,5.5h,模拟
Park Ranger Simulator,¥ 58.00,18%,79,2.8h,模拟
House Master,¥ 0.00,,,,"建造, 模拟"
Battle Simulator: Counter Stickman,¥ 15.00,75%,29,8.3h,模拟
Xenomycology,¥ 0.00,,,,"模拟, 建造"
My Adorable Demon Story,¥ 0.00,,,,模拟
BankingSim,¥ 0.00,,,,模拟
Roadtrip: The Engine of Madness,¥ 0.00,,,,模拟
AKIBA MANUAL OVERRIDE,¥ 0.00,,,,"模拟, 建造"
Wonderstries,¥ 42.00,,,3.8h,建造
Not Guilty!,¥ 0.00,,,,模拟
The Alchemist Of Alderglen,¥ 0.00,,,,"模拟, 农场模拟"
黄金矿工:经典版,¥ 16.69,82%,299,3.8h,模拟
Irredeemable,¥ 0.00,,,,模拟
The Face Horror Game,¥ 0.00,,,,模拟
Escape House,¥ 11.00,7 篇用户评测,7,1.3h,模拟
Color Pathways,¥ 11.00,3 篇用户评测,3,2.5h,模拟
<Kobako> Night Detention | 夜の居残り,¥ 0.00,,,,模拟
IPS 13: All Signals Lost,¥ 0.00,,,,模拟
Walk The Plank,¥ 26.00,1 篇用户评测,1,0.3h,模拟
Angle Of Attack,¥ 0.00,,,,模拟
修罗的杀阵：桌面拉面食堂,¥ 15.00,76%,109,49.6h,模拟
Scrutator Tenebris,¥ 0.00,,,,模拟
Flowerbud,¥ 0.00,,,,模拟
Master of the Mow,¥ 0.00,,,,模拟
DECON Protocol,免费开玩,56%,41,69.7h,模拟
Proper Citizen,¥ 0.00,,,,模拟
Bar at the Edge of Papillon,¥ 0.00,,,,模拟
Raccoons to Riches,¥ 0.00,,,,模拟
Wall Brawl,¥ 0.00,,,,建造
Architect of Ruin,¥ 0.00,,,,"模拟, 建造"
Super Ant Art Tycoon,¥ 36.00,80%,10,2.4h,模拟
Wrist Catcher-寸关,¥ 9.00,3 篇用户评测,3,0.5h,"疫病爆发模拟, 模拟"
The Puppy,¥ 11.00,63%,41,2.8h,模拟
Idle Reincarnator,¥ 22.00,70%,92,16.8h,模拟
The Warrens,¥ 52.00,3 篇用户评测,3,0.1h,模拟
弹球英雄,¥ 7.20,77%,18,5.2h,模拟
功德桌宠 Merit Pet,¥ 0.00,,,,模拟
Grimfog: Dead Hand Path,¥ 0.00,,,,建造
Artisan Acre,¥ 0.00,,,,模拟
Countryballs: Power Protocol,¥ 42.00,73%,108,5.0h,模拟
Desktop Clicker,¥ 7.50,3 篇用户评测,3,28.1h,模拟
MODULE,¥ 0.00,,,,"黑客, 模拟"
Soap,¥ 18.00,2 篇用户评测,2,1.1h,模拟
American Cooking Simulator: Multiplayer,¥ 0.00,,,,模拟
Shape Blast,¥ 0.00,,,,"模拟, 黑客"
舰魂重构 WarSpirit Recast,¥ 0.00,,,,建造
地心工业线 Chipmatic,¥ 0.00,,,,模拟
Killer Aces Volleyball,¥ 0.00,,,,模拟
水果厨房,¥ 6.00,1 篇用户评测,1,0.3h,模拟
Astral Sanctum,¥ 0.00,,,,模拟
Chalet,¥ 15.00,8 篇用户评测,8,,疫病爆发模拟
La Galerie des Toilettes,¥ 52.00,97%,48,1.2h,模拟
租女友,¥ 33.00,3 篇用户评测,3,0.9h,模拟
"Scalpel, Please!",¥ 0.00,,,,模拟
Courier Bay,¥ 37.70,54%,11,1.4h,模拟
Smithy By Day,¥ 0.00,,,,模拟
异能军团,¥ 0.00,,,,建造
Hunting Pro Simulator,¥ 0.00,,,,模拟
Newbie Hacker,¥ 18.00,,,2.4h,模拟
Object Factory,¥ 29.00,2 篇用户评测,2,1.8h,"模拟, 建造"
Box Box Box!,¥ 0.00,,,,模拟
Floorball League 2010,¥ 42.00,90%,74,3.5h,模拟
指尖蛇舞,免费开玩,5 篇用户评测,5,8.2h,模拟
Crystal Realms,¥ 0.00,,,,模拟
Red Moon Cafe,¥ 0.00,,,,模拟
Race 'n Dash,¥ 11.00,2 篇用户评测,2,,模拟
Digger Beach,¥ 22.00,5 篇用户评测,5,3.9h,模拟
Mellow's PillowLand,免费开玩,4 篇用户评测,4,1.8h,建造
Merry’s Seven Wishes,¥ 0.00,,,,模拟
Gunship Origins,¥ 0.00,,,,模拟
RATMOUSE,免费开玩,84%,19,3.0h,模拟
The Internet Cafe | PC방 알바,¥ 0.00,,,,模拟
空想森林FANTASY FOREST,¥ 0.00,,,,"农场模拟, 模拟"
King's Lynn Leisure Farm,¥ 0.00,,,,"模拟, 农场模拟"
Havenreach: Last Refuge,¥ 0.00,,,,建造
东北往事,¥ 0.00,,,,模拟
Parnitha: Patient 66,¥ 26.00,84%,19,0.2h,模拟
Sole Duty,¥ 0.00,,,,模拟
Skies Scrapper,¥ 0.00,,,,"模拟, 建造"
"嘘, 美女拍摄中",¥ 76.00,87%,140,5.3h,模拟
Truck Simulator 2026: USA,¥ 0.00,,,,模拟
Fix and Clerk,¥ 0.00,,,,模拟
Piperspace,¥ 0.00,,,,"模拟, 建造"
Camp Manager Simulator,¥ 0.00,,,,"模拟, 建造"
Lost Artifacts The Ghost of Florence,¥ 58.00,2 篇用户评测,2,4.8h,模拟
看不见的我们,¥ 29.00,93%,225,16.6h,模拟
Battleships Simulator,¥ 0.00,,,,模拟
Wormies,¥ 0.00,,,,模拟
Not A.C.A.B.,¥ 0.00,,,,模拟
Cozy Builder,¥ 0.00,,,,"建造, 模拟, 农场模拟"
Serpath,¥ 0.00,,,,模拟
Face Interrogation,¥ 0.00,,,,"疫病爆发模拟, 模拟"
ビョーキなGENERATION -クレーンキャッチャーの亡霊-,¥ 52.00,83%,12,2.8h,模拟
TEST RELEASE DO NOT BUY !!!,¥ 11.00,100%,41,0.8h,模拟
Room 304 - A Boys' Love Story,¥ 15.00,2 篇用户评测,2,0.1h,模拟
The Salesman,¥ 22.00,82%,682,1.4h,模拟
束魂,¥ 29.00,无用户评测,,3.5h,模拟
Trick or Treat: The Legend of Samhain,¥ 0.00,,,,模拟
커피여우 김삼월,¥ 66.00,1 篇用户评测,1,2.4h,模拟
MineEngineer,¥ 0.00,,,,"建造, 模拟"
NGL Biathlon 2026,¥ 68.00,92%,167,25.4h,模拟
Resources Assemble!,¥ 0.00,,,,模拟
Timberveil,¥ 0.00,,,,模拟
Backroom Collector,¥ 0.00,,,,模拟
Ghost Node,¥ 0.00,,,,黑客
哥是莽撞人,¥ 6.00,,,,模拟
三国志BOND,¥ 0.00,,,,模拟
Teddy Collector,¥ 18.00,83%,12,1.4h,模拟
14 Days With You,¥ 0.00,,,,模拟
铸星工厂,¥ 0.00,,,,模拟
Chop Signal,¥ 0.00,,,,模拟
Mine Mine,¥ 22.00,4 篇用户评测,4,4.5h,模拟
摸鱼争霸,¥ 0.00,,,,模拟
MechaCap Arena,¥ 33.00,6 篇用户评测,6,,模拟
摸鱼弹珠,¥ 6.00,,,0.1h,模拟
Idle Toss: That Water Game,¥ 0.00,,,,模拟
砍价模拟器,¥ 0.00,,,,模拟
VIVA - VRIDIAN Integrated Virtual Architecture,¥ 0.00,,,,模拟
Homeless farmer,¥ 0.00,,,,"农场模拟, 模拟"
Abyss Chamber,¥ 0.00,,,,模拟
Gargadusa's Tower,¥ 36.00,89%,120,30.6h,"模拟, 建造"
