游戏名称,价格,好评率,好评人数,平均游玩时长,标签
Get Together: A Coop Adventure,¥ 5.50,65%,84,2.4h,休闲
Little Lives,¥ 52.00,82%,245,6.1h,休闲
labyrinth 3,¥ 6.00,4 篇用户评测,4,1.5h,休闲
RETRIS,¥ 15.00,90%,11,3.5h,休闲
Renovators,¥ 0.00,,,,休闲
Crafty,¥ 67.00,无用户评测,,3.0h,休闲
Berzerk Flashback,¥ 10.85,93%,134,10.1h,休闲
BAND OF BROTHERS,¥ 6.00,52%,34,0.7h,休闲
Apostle 3D,¥ 15.00,7 篇用户评测,7,1.6h,休闲
Astro Zip VR,免费开玩,7 篇用户评测,7,8.4h,休闲
Meow Lab,¥ 11.00,95%,71,8.1h,休闲
Evil Shogun,¥ 6.00,3 篇用户评测,3,3.0h,点击游戏
Hexacore,¥ 15.00,4 篇用户评测,4,0.0h,休闲
Bleak end,¥ 0.00,,,,休闲
Cat Go! Ultimate Challenge,¥ 11.00,84%,26,1.9h,休闲
Kuguru,¥ 26.00,2 篇用户评测,2,2.2h,休闲
Fuzz Dungeon,¥ 18.00,100%,74,3.5h,休闲
Bigfoot Forest,¥ 3.00,73%,142,1.3h,挂机游戏
Scribble Fight,¥ 42.00,4 篇用户评测,4,1.1h,休闲
MOON BASE,免费开玩,58%,84,4.2h,休闲
Women's Quiz,¥ 18.00,1 篇用户评测,1,2.0h,休闲
Agent X,¥ 6.00,38%,13,0.3h,休闲
Asteroids Belt: Try to Survive!,¥ 6.00,91%,24,2.3h,休闲
VR创造女郎,¥ 9.31,69%,65,2.0h,休闲
消灭水滴,¥ 6.00,1 篇用户评测,1,1.2h,"休闲, 三消"
White Shirts Red Blood,¥ 0.00,,,,休闲
The Ramp,¥ 26.00,95%,"1,094",2.2h,休闲
King's Cup: The online multiplayer drinking game,¥ 6.00,85%,21,2.6h,休闲
Horror Squad,¥ 5.50,55%,514,2.6h,休闲
Battle Cube,¥ 6.00,74%,35,2.8h,"休闲, 点击游戏"
Minicraft Shooter,¥ 3.00,18%,11,4.8h,休闲
Smoked Gun,¥ 6.00,72%,29,1.1h,休闲
What Never Was: Chapter II,¥ 0.00,,,,休闲
WaterPolo Inter Nation,¥ 0.00,,,,休闲
A House of Thieves,¥ 39.99,86%,118,6.0h,休闲
Poop,免费开玩,58%,301,294.5h,"点击游戏, 休闲, 挂机游戏"
The Epic of Inanna,免费,73%,23,10.4h,休闲
Cards & Tankards,免费开玩,87%,915,9.3h,休闲
Hana's Campus Life!,¥ 58.00,7 篇用户评测,7,1.0h,休闲
葬花·暗黑桃花源,¥ 6.00,95%,"6,118",9.7h,休闲
弗洛伊斯(FREUS),试用版,1 篇用户评测,1,0.9h,休闲
Math Hero - Minimalist Puzzle,¥ 6.00,80%,25,1.2h,休闲
Grab Toy,¥ 18.00,2 篇用户评测,2,1.8h,休闲
Cannon Lab 13,¥ 6.00,3 篇用户评测,3,0.8h,休闲
Rowfall,¥ 15.00,1 篇用户评测,1,2.3h,"休闲, 三消"
Soobmarinno,¥ 30.00,83%,12,8.1h,休闲
Coloring Book for Kids,免费开玩,88%,154,7.5h,休闲
Horus IDLE,¥ 9.00,2 篇用户评测,2,2.7h,"休闲, 点击游戏"
Stellar Mess: The Princess Conundrum (Chapter 1),¥ 3.00,97%,36,5.2h,点击游戏
ENDO,ENDO Demo,100%,31,1.7h,休闲
Childkin: Tiny Adventures,¥ 0.00,,,,休闲
Cold Wind,¥ 3.00,33%,15,3.1h,"挂机游戏, 休闲"
Bloomee,¥ 50.00,2 篇用户评测,2,0.1h,休闲
Space Warlord Organ Trading Simulator,¥ 70.00,92%,798,3.1h,"休闲, 点击游戏"
Base Defense VR,免费,59%,27,5.7h,休闲
Pixel Fixel,免费,100%,122,6.6h,休闲
Witch Strandings,¥ 50.00,70%,34,1.0h,休闲
Race - Total Toon Race,¥ 11.00,1 篇用户评测,1,1.9h,休闲
A Night Before the Deadline,免费开玩,77%,22,4.1h,挂机游戏
Aero Battle,¥ 3.33,72%,11,5.9h,休闲
Destroy Geometric Shapes,¥ 6.00,86%,23,0.7h,休闲
80s Volleyball,¥ 6.00,66%,12,0.7h,休闲
Fruit Row,¥ 12.00,84%,13,1.1h,"三消, 休闲"
ParticuLights,¥ 15.00,1 篇用户评测,1,3.4h,休闲
Endless Furry Asteroids,¥ 6.00,5 篇用户评测,5,2.9h,休闲
Ember Knight Solitaire,¥ 32.00,5 篇用户评测,5,10.4h,"休闲, 三消"
亿万恋人,¥ 15.00,95%,"3,588",3.1h,休闲
Murder at Midnight,¥ 32.00,92%,13,5.4h,休闲
Grammarian Ltd,¥ 37.00,89%,46,3.6h,休闲
Lady in Mystery,¥ 80.00,94%,152,11.1h,休闲
JUST A GUY :  Online Multiplayer Ragdoll Game,¥ 0.00,,,,休闲
VAR: Exterminate,¥ 50.00,89%,130,4.4h,休闲
Midnight Girl,¥ 58.00,92%,139,3.5h,休闲
Golfie,¥ 68.00,66%,269,3.0h,休闲
Caveman,¥ 3.00,100%,10,3.0h,休闲
Daenerys Miracle,¥ 6.00,84%,33,1.7h,休闲
Riot Control Simulator,¥ 0.00,,,,休闲
Disc Golf Valley VR,¥ 70.00,71%,73,5.1h,休闲
三元方块,¥ 11.00,无用户评测,,2.0h,休闲
Birb Café,¥ 37.00,78%,14,2.5h,休闲
拾忆之旅 Spiral,¥ 58.00,90%,33,3.1h,休闲
DVOREC,¥ 6.00,1 篇用户评测,1,2.1h,休闲
Rebound Raver,¥ 6.00,7 篇用户评测,7,1.7h,"弹球, 休闲"
Ragdoll Funhouse,¥ 11.00,4 篇用户评测,4,0.8h,休闲
Sol Dorado Heist,¥ 22.00,4 篇用户评测,4,1.0h,休闲
Brave Deeds of Rescue Team,¥ 35.00,86%,43,10.0h,休闲
夏まつりのハナビィ Hanaby's Summer Festival,¥ 75.00,96%,30,8.0h,休闲
Mythos Ever After: A Cthulhu Dating Sim RX,¥ 6.00,,,0.7h,休闲
Mimetic - Prop hunt hide and seek,¥ 36.00,83%,12,0.1h,休闲
Gnomepunk,¥ 0.00,,,,休闲
Tiddy Bounce,¥ 11.00,3 篇用户评测,3,0.8h,休闲
Between Time: Escape Room,¥ 37.00,80%,311,3.3h,休闲
Pearls of the Oceans,¥ 6.00,1 篇用户评测,1,2.1h,休闲
Mad Cart,¥ 6.00,,,0.9h,休闲
Aventura Pisicului Pierdut,¥ 15.00,100%,12,3.9h,休闲
Ambidextrous Psychopath,¥ 6.00,9 篇用户评测,9,2.4h,休闲
Descent Vector: Space Runner,¥ 22.00,6 篇用户评测,6,1.6h,休闲
Seaport Tycoon,¥ 0.00,,,,休闲
Cardlike,¥ 18.00,无用户评测,,11.2h,休闲
Godspell Defender,¥ 11.00,66%,15,3.0h,休闲
VR Fighter Jets War,¥ 4.80,4 篇用户评测,4,2.8h,休闲
Puzzledorf,¥ 42.00,100%,13,3.0h,休闲
Blokker,¥ 11.00,93%,59,1.6h,休闲
银魂：Silver Soul,¥ 8.00,57%,33,11.0h,休闲
SHIBUYA SUSHI MASTER,¥ 0.00,,,,休闲
HIGH&LOW　～めざせ！　26連勝！　5000兆円への道～,¥ 6.00,100%,10,2.1h,休闲
九霄仙途,¥ 23.80,77%,93,46.5h,"休闲, 挂机游戏"
It's Not Rocket Science!,¥ 18.00,1 篇用户评测,1,0.2h,休闲
Escape Abstraction,¥ 26.00,2 篇用户评测,2,4.1h,休闲
Thief Shop,¥ 18.00,无用户评测,,0.2h,休闲
Samorost 1,免费,95%,"5,191",5.1h,休闲
The Trigger,¥ 26.00,80%,10,1.6h,休闲
The Floor is [Blank],¥ 15.00,3 篇用户评测,3,1.2h,休闲
Lock Lock: Farm,¥ 11.00,100%,12,1.9h,"休闲, 点击游戏"
百年王国,¥ 94.00,78%,78,6.0h,休闲
Sword Princess Amaltea - The Visual Novel,¥ 42.00,3 篇用户评测,3,1.5h,休闲
哈鲁,¥ 0.00,,,,休闲
HUMANITY,¥ 108.00,93%,470,5.9h,休闲
